Obj1,Obj2,Obj3
215.6000,14.5000,0.9282
216.5778,14.0556,0.9578
217.5556,13.6111,0.9404
218.5333,13.1667,0.9604
219.5111,12.7222,0.9343
220.4889,12.2778,0.9558
221.4667,11.8333,0.9161
222.4444,11.3889,0.9431
223.4222,10.9444,0.9190
224.4000,10.5000,0.9615
218.3900,14.7069,0.9867
223.3244,10.5923,0.9783
222.3166,10.7738,0.8808
221.1516,12.3497,0.9224
222.6525,12.1392,0.8700
224.5525,10.4768,0.9522
223.0584,10.8644,0.9865
218.7273,12.7589,0.9564
218.0555,13.1843,0.8989
220.5753,13.0383,0.9254
222.9639,11.2790,0.9028
222.2404,11.9441,0.9269
222.0003,11.4786,0.8886
221.9383,11.4564,0.9195
218.0810,13.3787,0.9857
